# Kapitel 0 - Lektion 0a: rzeczowniki z rodzajnikiem określonym.
der Hamburger | hamburger
die Natur | natura
das Kapitel | rozdział
der Sport | sport
der Zoo | zoo
die Mode | moda
das Kino | kino
die Musik | muzyka
der Computer | komputer
die Torte | tort
das Wort | słowo
die Wörter | słowa
ich kenne | znam
das Tablet | tablet
die Alpen | Alpy
der Fußball | piłka nożna
die Giraffe | żyrafa
der Film | film
der Tourist | turysta
die Familie | rodzina
die Gitarre | gitara
das Model | modelka
die Schokolade | czekolada
der Laptop | laptop
das Konzert | koncert
die Lektion | lekcja
Deutsch | język niemiecki
das Foto | zdjęcie
