# Kapitel 0: rzeczowniki z rodzajnikiem określonym.
der Hamburger | hamburger
die Natur | natura
das Kapitel | rozdział
der Sport | sport
der Zoo | zoo
die Mode | moda
das Kino | kino
die Musik | muzyka
der Computer | komputer
die Torte | tort
das Wort | słowo
die Wörter | słowa
ich kenne | znam
das Tablet | tablet
die Alpen | Alpy
der Fußball | piłka nożna
die Giraffe | żyrafa
der Film | film
der Tourist | turysta
die Familie | rodzina
die Gitarre | gitara
das Model | modelka
die Schokolade | czekolada
der Laptop | laptop
das Konzert | koncert
die Lektion | lekcja
Deutsch | język niemiecki
das Foto | zdjęcie
die Computerspiele | gry komputerowe
die Katzen | koty
die Gymnastik | gimnastyka
die Limonade | lemoniada
die Pizza | pizza
die Pandas | pandy
die Bananen | banany
die Filme | filmy
das Domino | domino
die Comics | komiksy
das Boxen | boks
ich mag | lubię
ich mag Limonade | lubię lemoniadę
ich mag Pizza | lubię pizzę
die Person | osoba
ich verstehe nicht | nie rozumiem
ich bin fertig | jestem gotowy
Ist alles klar? | Czy wszystko jasne?
noch einmal, bitte | jeszcze raz, proszę
gute Arbeit | dobra robota
kein Problem | nie ma problemu
ich helfe dir | pomogę ci
danke | dziękuję
die Übung | ćwiczenie
toll | świetnie
super | super
sehr schön | bardzo ładnie
fantastisch | fantastycznie
